name,is_valid,valid_name,synonym_optional
Commelinaceae,Y,,
Compositae,N,Asteraceae,
Connaraceae,Y,,
Conostylidaceae,N,Haemodoraceae,
Convallariaceae,N,Ruscaceae,
Convallariaceae,N,Asparagaceae,Y
Convolvulaceae,Y,,
Cordiaceae,N,Boraginaceae,
Coriariaceae,Y,,
Coridaceae,N,Myrsinaceae,
Cornaceae,Y,,
Corokiaceae,N,Argophyllaceae,
Corsiaceae,Y,,
Corylaceae,N,Betulaceae,
Corynocarpaceae,Y,,
Costaceae,Y,,
Crassulaceae,Y,,
Croomiaceae,N,Stemonaceae,
Crossosomataceae,Y,,
Cruciferae,N,Brassicaceae,
Crypteroniaceae,Y,,
Ctenolophonaceae,Y,,
Cucurbitaceae,Y,,
Cunoniaceae,Y,,
Curtisiaceae,Y,,
Cuscutaceae,N,Convolvulaceae,
Cyananthaceae,N,Campanulaceae,
Cyanastraceae,N,Tecophilaeaceae,
Cyclanthaceae,Y,,
Cyclocheilaceae,N,Orobanchaceae,
Cymodoceaceae,Y,,
Cynomoriaceae,Y,,
Cyperaceae,Y,,
Cyphiaceae,N,Lobeliaceae,
Cyphiaceae,N,Campanulaceae,Y
Cyphocarpaceae,N,Lobeliaceae,
Cyphocarpaceae,N,Campanulaceae,Y
Cypripediaceae,N,Orchidaceae,
Cyrillaceae,Y,,
Cytinaceae,Y,,
Dactylanthaceae,N,Balanophoraceae,
Daphniphyllaceae,Y,,
Dasypogonaceae,Y,,
Datiscaceae,Y,,
Davidiaceae,N,Cornaceae,
Davidsoniaceae,N,Cunoniaceae,
Decaisneaceae,N,Lardizabalaceae,
Degeneriaceae,Y,,
Desfontainiaceae,N,Columelliacae,Y
Dialypetalanthaceae,N,Rubiaceae,
Dianellaceae,N,Hemerocallidaceae,
Dianellaceae,N,Xanthorrhoeaceae,Y
Diapensiaceae,Y,,
Dichapetalaceae,N,Chrysobalanaceae,Y
Dichondraceae,N,Convolvulaceae,
Diclidantheraceae,N,Polygalaceae,
Didiereaceae,Y,,
Didymelaceae,N,Buxaceae,Y
Diegodendraceae,N,Bixaceae,Y
Diervillaceae,N,Caprifoliaceae,Y
Dilleniaceae,Y,,
Dionaeaceae,N,Droseraceae,
Dioncophyllaceae,Y,,
Dioscoreaceae,Y,,
Dipentodontaceae,Y,,
Dipsacaceae,N,Caprifoliaceae,Y
Dipterocarpaceae,Y,,
Dirachmaceae,Y,,
Donatiaceae,N,Stylidiaceae,Y
Doryanthaceae,Y,,
Dracaenaceae,N,Ruscaceae,
Dracaenaceae,N,Asparagaceae,Y
Droseraceae,Y,,
Drosophyllaceae,Y,,
Duabangaceae,N,Lythraceae,
Duckeodendraceae,N,Solanaceae,
Dysphaniaceae,N,Amaranthaceae,
Ebenaceae,Y,,
Ecdeiocoleaceae,Y,,
Ehretiaceae,N,Boraginaceae,
Elaeagnaceae,Y,,
Elaeocarpaceae,Y,,
Elatinaceae,Y,,
Ellisiophyllaceae,N,Plantaginaceae,
Emblingiaceae,Y,,
Emottaceae,N,Icacinaceae,
Empetraceae,N,Ericaceae,
Engelhardtiaceae,N,Juglandaceae,
Epacridaceae,N,Ericaceae,
Epimediaceae,N,Berberidaceae,
Eremolepidaceae,N,Santalaceae,
Eremosynaceae,Y,,
Ericaceae,Y,,
Eriocaulaceae,Y,,
Eriospermaceae,N,Ruscaceae,
Eriospermaceae,N,Asparagaceae,Y
Erycibaceae,N,Convolvulaceae,
Erythropalaceae,N,Olacaceae,
Erythroxylaceae,Y,,
Escalloniaceae,Y,,
Eschscholziaceae,N,Papaveraceae,
Eucommiaceae,Y,,
Eucryphiaceae,N,Cunoniaceae,
Euphorbiaceae,Y,,
