name,is_valid,valid_name,synonym_optional
Tribulaceae,N,Zygophyllaceae,
Trichopodaceae,N,Dioscoreaceae,
Tricyrtidaceae,N,Liliaceae,
Trigoniaceae,N,Chrysobalanaceae,Y
Trilliaceae,N,Melanthiaceae,
Trimeniaceae,Y,,
Triplostegiaceae,N,Dipsaceaceae,
Triplostegiaceae,N,Caprifoliaceae,Y
Tristichaceae,N,Podostemaceae,
Triuridaceae,Y,,
Trochodendraceae,Y,,
Tropaeolaceae,Y,,
Tulbaghiaceae,N,Alliaceae,
Turneraceae,N,Passifloraceae,Y
Typhaceae,Y,,
Uapacaceae,N,Phyllanthaceae,
Ulmaceae,Y,,
Umbelliferae,N,Apiaceae,
Urticaceae,Y,,
Uvulariaceae,N,Colchicaceae,
Vacciniaceae,N,Ericaceae,
Vahliaceae,Y,,
Valerianaceae,N,Caprifoliaceae,Y
Vallisneriaceae,N,Hydrocharitaceae,
Velloziaceae,Y,,
Verbascaceae,N,Scrophulariaceae,
Verbenaceae,Y,,
Veronicaceae,N,Plantaginaceae,
Viburnaceae,N,Adoxaceae,
Violaceae,Y,,
Viscaceae,N,Santalaceae,
Vitaceae,Y,,
Viticaceae,N,Lamiaceae,
Vivianiaceae,Y,,
Vochysiaceae,Y,,
Walleriaceae,N,Tecophilaeaceae,
Wellstediaceae,N,Boraginaceae,
Winteraceae,Y,,
Xanthophyllaceae,N,Polygalaceae,
Xanthorrhoeaceae,Y,,
Xeronemataceae,Y,,
Xerophyllaceae,N,Melanthiaceae,
Xyridaceae,Y,,
Zannichelliaceae,N,Potamogetonaceae,
Zingiberaceae,Y,,
Zosteraceae,Y,,
Zygophyllaceae,Y,,
